Freq.	V(vout2)/(-V(verr2))
2.63026799189535e+06	(1.97247097011576e+01dB,-9.06850456420721e+01°)
2.69153480392689e+06	(1.95247187154348e+01dB,-9.07096728960177e+01°)
2.75422870333814e+06	(1.93247279149315e+01dB,-9.07346785287742e+01°)
2.81838293126442e+06	(1.91247373127707e+01dB,-9.07600759421827e+01°)
2.88403150312657e+06	(1.89247469219089e+01dB,-9.07858787553312e+01°)
2.95120922666635e+06	(1.87247567551069e+01dB,-9.08121008124209e+01°)
3.01995172040198e+06	(1.85247668249038e+01dB,-9.08387561906757e+01°)
3.09029543251356e+06	(1.83247771435777e+01dB,-9.08658592085014e+01°)
3.16227766016835e+06	(1.81247877231059e+01dB,-9.08934244337801e+01°)
3.23593656929625e+06	(1.79247985751174e+01dB,-9.09214666922984e+01°)
3.31131121482587e+06	(1.77248097108355e+01dB,-9.09500010764074e+01°)
3.38844156139199e+06	(1.75248211410191e+01dB,-9.09790429538154e+01°)
3.46736850452528e+06	(1.73248328758882e+01dB,-9.10086079765783e+01°)
3.54813389233572e+06	(1.71248449250474e+01dB,-9.10387120903347e+01°)
