Freq.	V(vout)/(-V(vn))
3.80189396320570e+06	(-1.02360576783616e+01dB,1.72801000021892e+02°)
3.98107170553507e+06	(-1.07485819614348e+01dB,1.72387271303171e+02°)
4.16869383470346e+06	(-1.12390737946494e+01dB,1.72028492503602e+02°)
4.36515832240177e+06	(-1.17068234739354e+01dB,1.71718808323635e+02°)
4.57088189614886e+06	(-1.21513286169089e+01dB,1.71451837846727e+02°)
4.78630092322650e+06	(-1.25723032844245e+01dB,1.71220835250095e+02°)
5.01187233627285e+06	(-1.29696802007511e+01dB,1.71018861034266e+02°)
5.24807460249786e+06	(-1.33436060103904e+01dB,1.70838953640028e+02°)
5.49540873857638e+06	(-1.36944300089282e+01dB,1.70674291594083e+02°)
5.75439937337171e+06	(-1.40226872273997e+01dB,1.70518337584040e+02°)
6.02559586074373e+06	(-1.43290770839037e+01dB,1.70364957895352e+02°)
6.30957344480209e+06	(-1.46144390115207e+01dB,1.70208513131114e+02°)
6.60693448007612e+06	(-1.48797265200978e+01dB,1.70043918728776e+02°)
6.91830970918954e+06	(-1.51259810650528e+01dB,1.69866676165654e+02°)
7.24435960075008e+06	(-1.53543069089643e+01dB,1.69672877669011e+02°)
7.58577575029203e+06	(-1.55658479095665e+01dB,1.69459188584396e+02°)
7.94328234724302e+06	(-1.57617668895581e+01dB,1.69222812281167e+02°)
8.31763771102692e+06	(-1.59432279725722e+01dB,1.68961442645400e+02°)
8.70963589956103e+06	(-1.61113820298987e+01dB,1.68673208940840e+02°)
9.12010839355933e+06	(-1.62673551883266e+01dB,1.68356617244959e+02°)
9.54992586021460e+06	(-1.64122402059512e+01dB,1.68010491923431e+02°)
1.00000000000003e+07	(-1.65470904282040e+01dB,1.67633919806721e+02°)
1.04712854805093e+07	(-1.66729159844298e+01dB,1.67226198962546e+02°)
1.09647819614321e+07	(-1.67906818675174e+01dB,1.66786793273911e+02°)
1.14815362149691e+07	(-1.69013075463319e+01dB,1.66315293463459e+02°)
1.20226443461744e+07	(-1.70056677846513e+01dB,1.65811384759996e+02°)
1.25892541179420e+07	(-1.71045943739299e+01dB,1.65274821076455e+02°)
