Freq.	V(vout)/(-V(vn))
1.14815362149690e+05	(3.13703324676884e+01dB,-9.85681236169351e+01°)
1.20226443461744e+05	(3.09629213741118e+01dB,-9.89691463777601e+01°)
1.25892541179419e+05	(3.05548081014488e+01dB,-9.93883900757549e+01°)
1.31825673855643e+05	(3.01459274475901e+01dB,-9.98266277554406e+01°)
1.38038426460291e+05	(2.97362084173536e+01dB,-1.00284656252793e+02°)
1.44543977074595e+05	(2.93255737590765e+01dB,-1.00763295621320e+02°)
1.51356124843624e+05	(2.89139394742497e+01dB,-1.01263388316020e+02°)
1.58489319246114e+05	(2.85012143007174e+01dB,-1.01785798100785e+02°)
1.65958690743759e+05	(2.80872991705114e+01dB,-1.02331408641806e+02°)
1.73780082874941e+05	(2.76720866440529e+01dB,-1.02901121746533e+02°)
1.81970085861002e+05	(2.72554603232441e+01dB,-1.03495855204943e+02°)
1.90546071796328e+05	(2.68372942469093e+01dB,-1.04116540187352e+02°)
1.99526231496892e+05	(2.64174522731338e+01dB,-1.04764118150984e+02°)
2.08929613085408e+05	(2.59957874543026e+01dB,-1.05439537206153e+02°)
2.18776162394960e+05	(2.55721414120742e+01dB,-1.06143747892506e+02°)
2.29086765276782e+05	(2.51463437211180e+01dB,-1.06877698316563e+02°)
2.39883291901954e+05	(2.47182113122201e+01dB,-1.07642328604179e+02°)
2.51188643150963e+05	(2.42875479072753e+01dB,-1.08438564625830e+02°)
2.63026799189543e+05	(2.38541435007278e+01dB,-1.09267310959268e+02°)
2.75422870333822e+05	(2.34177739041436e+01dB,-1.10129443063511e+02°)
2.88403150312666e+05	(2.29782003727306e+01dB,-1.11025798650741e+02°)
3.01995172040208e+05	(2.25351693346903e+01dB,-1.11957168258911e+02°)
3.16227766016844e+05	(2.20884122461744e+01dB,-1.12924285048079e+02°)
3.31131121482598e+05	(2.16376455961950e+01dB,-1.13927813867862e+02°)
3.46736850452539e+05	(2.11825710869472e+01dB,-1.14968339672150e+02°)
3.63078054770109e+05	(2.07228760154574e+01dB,-1.16046355390072e+02°)
3.80189396320569e+05	(2.02582338820744e+01dB,-1.17162249398816e+02°)
3.98107170553505e+05	(1.97883052498669e+01dB,-1.18316292783504e+02°)
4.16869383470344e+05	(1.93127388762730e+01dB,-1.19508626610636e+02°)
4.36515832240175e+05	(1.88311731341832e+01dB,-1.20739249483063e+02°)
4.57088189614884e+05	(1.83432377338991e+01dB,-1.22008005683804e+02°)
4.78630092322648e+05	(1.78485557500115e+01dB,-1.23314574250772e+02°)
5.01187233627283e+05	(1.73467459482343e+01dB,-1.24658459351565e+02°)
5.24807460249784e+05	(1.68374253967426e+01dB,-1.26038982343786e+02°)
5.49540873857636e+05	(1.63202123349163e+01dB,-1.27455275908598e+02°)
5.75439937337169e+05	(1.57947292600188e+01dB,-1.28906280630578e+02°)
6.02559586074371e+05	(1.52606061798751e+01dB,-1.30390744362919e+02°)
6.30957344480207e+05	(1.47174839678065e+01dB,-1.31907224662520e+02°)
6.60693448007610e+05	(1.41650177457985e+01dB,-1.33454094504314e+02°)
6.91830970918951e+05	(1.36028802140380e+01dB,-1.35029551390031e+02°)
7.24435960075006e+05	(1.30307648404530e+01dB,-1.36631629857014e+02°)
7.58577575029200e+05	(1.24483888234983e+01dB,-1.38258217272799e+02°)
7.94328234724299e+05	(1.18554957457344e+01dB,-1.39907072678153e+02°)
8.31763771102689e+05	(1.12518578450327e+01dB,-1.41575848323127e+02°)
8.70963589956100e+05	(1.06372778444543e+01dB,-1.43262113436578e+02°)
9.12010839355930e+05	(1.00115903005486e+01dB,-1.44963379688250e+02°)
9.54992586021457e+05	(9.37466245217949e+00dB,-1.46677127752051e+02°)
1.00000000000002e+06	(8.72639457687813e+00dB,-1.48400834365985e+02°)
1.04712854805092e+06	(8.06671988774066e+00dB,-1.50131999312511e+02°)
1.09647819614321e+06	(7.39560402953477e+00dB,-1.51868171814385e+02°)
1.14815362149691e+06	(6.71304425643854e+00dB,-1.53606975954021e+02°)
1.20226443461744e+06	(6.01906839434138e+00dB,-1.55346134874936e+02°)
1.25892541179420e+06	(5.31373370677852e+00dB,-1.57083493705678e+02°)
1.31825673855644e+06	(4.59712579457440e+00dB,-1.58817041351580e+02°)
1.38038426460292e+06	(3.86935766477397e+00dB,-1.60544931518506e+02°)
1.44543977074596e+06	(3.13056910449644e+00dB,-1.62265503555862e+02°)
1.51356124843624e+06	(2.38092649043511e+00dB,-1.63977303923861e+02°)
1.58489319246115e+06	(1.62062315572163e+00dB,-1.65679109293513e+02°)
1.65958690743760e+06	(8.49880424021398e-01dB,-1.67369952468486e+02°)
1.73780082874942e+06	(6.89494076215816e-02dB,-1.69049152468404e+02°)
1.81970085861003e+06	(-7.21886346148086e-01dB,-1.70716350225894e+02°)
1.90546071796329e+06	(-1.52230728526752e+00dB,-1.72371551417468e+02°)
1.99526231496893e+06	(-2.33195328904137e+00dB,-1.74015177962969e+02°)
2.08929613085409e+06	(-3.15041803366356e+00dB,-1.75648129679815e+02°)
2.18776162394960e+06	(-3.97724219379766e+00dB,-1.77271857453304e+02°)
2.29086765276783e+06	(-4.81190535264472e+00dB,-1.78888449064294e+02°)
2.39883291901955e+06	(-5.65381643772123e+00dB,1.79499271526232e+02°)
2.51188643150964e+06	(-6.50230241800734e+00dB,1.77887631138882e+02°)
2.63026799189544e+06	(-7.35659488516447e+00dB,1.76271981007569e+02°)
2.75422870333823e+06	(-8.21581399279650e+00dB,1.74646558526128e+02°)
2.88403150312667e+06	(-9.07894904103161e+00dB,1.73004339994738e+02°)
3.01995172040209e+06	(-9.94483477154205e+00dB,1.71336889275849e+02°)
